Plot;Site;DM;SR;Loam;pH;P;C;Cover;Height
LBE7;i;6.946666667;3;5;3.7;8;2.4;95.66666667;36.26666667
LBE8;i;4.28;16;35;4.2;3;2.7;105.6666667;95.46666667
LBE9;i;1.666666667;13;5;4.5;24;2.3;122.5;59.66666667
LBE10;i;5.04;14;5;5.5;14;10.8;107.1666667;66.73333333
LBE11-;i;2.88;20;35;4.3;2;4.9;136.6666667;42.66666667
LBE12;i;5.346666667;18;35;7.1;4;8.8;143;106.0666667
LBE13;i;8.133333333;13;80;5.5;5;3.9;101.5;101.1333333
LBE14;j;5.213333333;12;5;4.5;9;4.8;99.66666667;89.26666667
LBE15;j;2.213333333;15;15;4.4;5;12.9;103.5;76.73333333
LBE16-;j;3.146666667;12;75;4.9;2;1.8;82.33333333;40.46666667
LBE17;j;8.613333333;7;15;4.4;16;10;119.1666667;88.46666667
LBE18;j;14.42666667;9;5;4.7;5;5.9;112.1666667;73.26666667
LBE19;j;3.346666667;6;15;3.9;2;26.3;113;58.6
LBE20-;j;1.026666667;21;5;4.2;6;2.7;112.6666667;49
LBE21;j;3.08;14;5;3.7;1;1.5;92.5;88.4
LBE22;j;3.693333333;12;5;4.1;4;4.1;114.3333333;60.6
LBE23;j;3.986666667;11;35;4.2;11;1.6;88.83333333;72.73333333
LBE24-;j;4.76;9;15;5.9;21;1.9;109.3333333;84.33333333
LBE25;k;4.293333333;8;5;4.7;18;3.1;115.6666667;95.26666667
LBE26;k;7.32;13;80;4.8;3;3.3;107.5;57.6
LBE27;k;3.72;16;5;4.7;23;4.7;123.6666667;71.86666667
LBE28;k;1.853333333;13;70;4.5;4;4.7;110.5;55.06666667
LBE29;k;2.106666667;5;35;5.7;15;0.9;103;53.2
LBE30;k;1.813333333;11;35;5.1;25;1;112.5;81.06666667
LBE31-;k;12.62666667;8;70;5.1;15;5.3;53.16666667;180
LBE32-;k;5.813333333;9;35;4.7;7;6.3;40.83333333;121.6666667
LBE33;k;12.72;4;75;4.5;4;5.1;81;214
LBE34;k;14.29333333;3;20;7.8;34;3.9;101;231.7333333
LBE35-;k;4.653333333;12;75;4.8;3;2.9;56.5;74.66666667
LBE36;k;3.76;10;15;4.4;25;4.5;109.1666667;83.4
LBE37;k;6.44;8;15;4.2;3;4.5;114;100.9333333
